Timestamp,Score,,What is your prolific ID?,Do you consider yourself a good judge of character?,How many people do you encounter on an average day?,How would you describe yourself in a few words?,How would you rate these qualities in yourself? [Charisma],How would you rate these qualities in yourself? [Friendliness],How would you rate these qualities in yourself? [Confidence],How would you rate these qualities in yourself? [Trustworthiness], [Charisma], [Confidence], [Trustworthiness], [Friendliness], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness],, [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness]
11/28/2021 22:24:22,,I have read and agree,60fd849c42573f0527bbdb95,4,101 or above,"Loud, people person, social, not very trusting of others",3-Medium,5-Very High,2-Low,4-High,4- High,5-Very high,1- Very low,1- Very low,3- Medium,2-Low,2-Low,4- High,3- Medium,4- High,4- High,4- High,3- Medium,4- High,2-Low,4- High,2-Low,3- Medium,Option 3,4- High,4- High,3- Medium,3- Medium,4- High,4- High,3- Medium,2-Low,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium
11/28/2021 22:25:13,,I have read and agree,5fecb656416cba997ea9cbfc,3,11-30,I am a funny enjoyable person,5-Very High,5-Very High,4-High,4-High,5-Very high,5-Very high,3- Medium,1- Very low,3- Medium,4- High,2-Low,4- High,3- Medium,4- High,5-Very high,4- High,2-Low,4- High,2-Low,5-Very high,1- Very low,4- High,Option 3,"3- Medium, 4- High",4- High,4- High,3- Medium,2-Low,3- Medium,4- High,2-Low,2-Low,2-Low,4- High,2-Low,3- Medium,3- Medium
11/28/2021 22:26:59,,I have read and agree,605dc97c5a9c2bb92f604f01,4,0-10,"people person, emphatic, emotional, intorvert",4-High,3-Medium,5-Very High,4-High,5-Very high,4- High,2-Low,1- Very low,3- Medium,3- Medium,4- High,4- High,3- Medium,4- High,2-Low,4- High,2-Low,5-Very high,3- Medium,4- High,2-Low,2-Low,Option 3,4- High,4- High,5-Very high,4- High,3- Medium,5-Very high,3- Medium,2-Low,2-Low,2-Low,3- Medium,2-Low,4- High,4- High
11/28/2021 22:49:38,,I have read and agree,5f3471038c02243749f3e62e,4,11-30,sad and depressed. and curious. ,3-Medium,3-Medium,1-Very low,1-Very low,4- High,1- Very low,2-Low,1- Very low,2-Low,1- Very low,1- Very low,3- Medium,4- High,5-Very high,2-Low,4- High,2-Low,3- Medium,2-Low,3- Medium,2-Low,2-Low,Option 3,3- Medium,4- High,4- High,5-Very high,4- High,3- Medium,1- Very low,2-Low,3- Medium,2-Low,2-Low,5-Very high,1- Very low,2-Low
11/28/2021 22:50:17,,I have read and agree,60a7781a2f05a1f13e6a7b6d,4,11-30,"I am an introvert, trusting, kind and funny person.",3-Medium,4-High,4-High,5-Very High,5-Very high,5-Very high,"1- Very low, 2-Low",1- Very low,2-Low,3- Medium,4- High,4- High,4- High,5-Very high,5-Very high,4- High,3- Medium,5-Very high,2-Low,4- High,"2-Low, 3- Medium",2-Low,Option 3,2-Low,3- Medium,5-Very high,3- Medium,4- High,4- High,3- Medium,1- Very low,2-Low,3- Medium,4- High,2-Low,4- High,4- High
11/28/2021 22:50:23,,I have read and agree,61087180ff57921ea2a86429,4,31-100,"Heavily extroverted, attentive, empathetic, gossipy",4-High,5-Very High,3-Medium,4-High,"3- Medium, 4- High",5-Very high,3- Medium,2-Low,"2-Low, 3- Medium",1- Very low,1- Very low,3- Medium,3- Medium,4- High,4- High,4- High,2-Low,2-Low,3- Medium,3- Medium,3- Medium,2-Low,Option 3,2-Low,3- Medium,4- High,3- Medium,2-Low,4- High,3- Medium,2-Low,3- Medium,1- Very low,4- High,4- High,4- High,3- Medium
11/28/2021 22:50:36,,I have read and agree,5c0792d036e189000129f15c,3,101 or above,"I like being around people for a while, but at one point I need to get out and be alone",3-Medium,3-Medium,2-Low,3-Medium,5-Very high,4- High,2-Low,1- Very low,"3- Medium, 4- High",2-Low,2-Low,3- Medium,2-Low,4- High,3- Medium,4- High,2-Low,3- Medium,2-Low,2-Low,2-Low,2-Low,Option 3,3- Medium,4- High,3- Medium,3- Medium,2-Low,1- Very low,2-Low,2-Low,2-Low,2-Low,3- Medium,2-Low,3- Medium,3- Medium
11/28/2021 22:50:41,,I have read and agree,609c036816fbf0a2373d8052,3,11-30,"I'm a very open-minded person, I like to learn about new things. ",3-Medium,4-High,4-High,5-Very High,5-Very high,4- High,2-Low,1- Very low,4- High,3- Medium,3- Medium,3- Medium,4- High,4- High,4- High,5-Very high,5-Very high,4- High,3- Medium,3- Medium,"1- Very low, 2-Low",3- Medium,Option 3,3- Medium,5-Very high,5-Very high,4- High,5-Very high,5-Very high,4- High,3- Medium,2-Low,1- Very low,4- High,2-Low,3- Medium,3- Medium
11/28/2021 22:51:16,,I have read and agree,5c169a5a1f6f15000149bf59,3,11-30,I am not a people person at all. I am not really a trusting person. I am definitely introverted.,3-Medium,4-High,2-Low,3-Medium,5-Very high,4- High,1- Very low,1- Very low,2-Low,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,4- High,3- Medium,4- High,2-Low,3- Medium,Option 3,3- Medium,3- Medium,3- Medium,4- High,3- Medium,4- High,5-Very high,3- Medium,3- Medium,2-Low,3- Medium,1- Very low,3- Medium,3- Medium
11/28/2021 22:51:43,,I have read and agree,601c86079cb7c47e8d664224,5,31-100,"Yes, I love being in contact with people, I try to do myself to be trusted and trust everyone and I consider myself a very extrovert person.
",3-Medium,4-High,4-High,4-High,4- High,4- High,3- Medium,1- Very low,"2-Low, 3- Medium",2-Low,2-Low,4- High,3- Medium,3- Medium,2-Low,3- Medium,2-Low,3- Medium,2-Low,1- Very low,1- Very low,1- Very low,Option 3,4- High,"3- Medium, 4- High",3- Medium,"3- Medium, 4- High",3- Medium,3- Medium,3- Medium,2-Low,3- Medium,1- Very low,4- High,3- Medium,3- Medium,4- High
11/28/2021 22:52:47,,I have read and agree,61253c11d542cccca9cf662a,3,31-100,I'm a Balanced Person.,3-Medium,5-Very High,3-Medium,4-High,4- High,5-Very high,"3- Medium, 4- High",1- Very low,3- Medium,3- Medium,"2-Low, 3- Medium","3- Medium, 4- High","3- Medium, 4- High",4- High,"3- Medium, 4- High","2-Low, 3- Medium","3- Medium, 4- High","4- High, 5-Very high","2-Low, 3- Medium",3- Medium,"3- Medium, 4- High","2-Low, 3- Medium",Option 3,4- High,4- High,5-Very high,4- High,3- Medium,"4- High, 5-Very high",4- High,"2-Low, 3- Medium",2-Low,"2-Low, 3- Medium",3- Medium,3- Medium,2-Low,"1- Very low, 2-Low"
11/28/2021 22:53:23,,I have read and agree,611152d27346f48b3e22b1a2,3,0-10,I am a very good listener but am quite introverted.,2-Low,3-Medium,2-Low,4-High,3- Medium,5-Very high,2-Low,1- Very low,3- Medium,2-Low,3- Medium,3- Medium,4- High,4- High,3- Medium,4- High,2-Low,3- Medium,2-Low,3- Medium,2-Low,3- Medium,Option 3,3- Medium,4- High,3- Medium,3- Medium,4- High,4- High,4- High,3- Medium,2-Low,2-Low,3- Medium,3- Medium,2-Low,4- High
11/28/2021 22:54:17,,I have read and agree,606b6eb00cc312d321e16249,3,11-30,"More introverted, trusting and occasionally naive when it comes to judging character.",3-Medium,4-High,2-Low,3-Medium,5-Very high,4- High,2-Low,1- Very low,4- High,3- Medium,2-Low,3- Medium,2-Low,4- High,3- Medium,3- Medium,4- High,4- High,2-Low,3- Medium,2-Low,3- Medium,Option 3,3- Medium,4- High,4- High,3- Medium,3- Medium,3- Medium,2-Low,2-Low,3- Medium,2-Low,3- Medium,3- Medium,3- Medium,2-Low
11/28/2021 22:55:02,,I have read and agree,5d52b4628c48ca0017855e69,3,31-100,an honest and open-minded person who tends to treat others the way I want to be treated.,4-High,4-High,2-Low,4-High,"4- High, 5-Very high",5-Very high,2-Low,2-Low,3- Medium,3- Medium,3- Medium,2-Low,3- Medium,4- High,4- High,2-Low,4- High,4- High,2-Low,2-Low,3- Medium,2-Low,Option 3,2-Low,4- High,4- High,4- High,4- High,4- High,4- High,2-Low,2-Low,2-Low,4- High,3- Medium,3- Medium,4- High
11/28/2021 22:55:08,,I have read and agree,6050ae98866a427695e22254,4,11-30,"I work with people, I am good listener, people come to me for advise, they can trust me.",3-Medium,4-High,3-Medium,5-Very High,5-Very high,4- High,2-Low,1- Very low,4- High,3- Medium,4- High,4- High,5-Very high,2-Low,2-Low,4- High,2-Low,5-Very high,2-Low,3- Medium,3- Medium,2-Low,Option 3,3- Medium,4- High,4- High,2-Low,4- High,5-Very high,3- Medium,2-Low,3- Medium,3- Medium,2-Low,4- High,3- Medium,4- High
11/28/2021 22:55:55,,I have read and agree,611e03efdec31f2ee7878056,4,0-10,"I am a social person, have got my days when I'm introverted but I enjoy being around people and meeting new people",3-Medium,4-High,4-High,4-High,4- High,3- Medium,1- Very low,1- Very low,2-Low,2-Low,2-Low,3- Medium,3- Medium,3- Medium,3- Medium,3- Medium,2-Low,4- High,2-Low,4- High,1- Very low,3- Medium,Option 3,2-Low,4- High,4- High,3- Medium,3- Medium,3- Medium,4- High,2-Low,2-Low,2-Low,4- High,2-Low,3- Medium,2-Low
11/28/2021 22:57:27,,I have read and agree,601ab07a4132933264239897,3,11-30,"Introverted, calm, not easy trusting",3-Medium,4-High,4-High,5-Very High,4- High,3- Medium,"1- Very low, 2-Low",1- Very low,3- Medium,2-Low,3- Medium,2-Low,2-Low,3- Medium,4- High,4- High,3- Medium,3- Medium,2-Low,3- Medium,3- Medium,3- Medium,Option 3,2-Low,3- Medium,4- High,4- High,3- Medium,2-Low,3- Medium,2-Low,2-Low,"2-Low, 3- Medium",3- Medium,3- Medium,4- High,3- Medium
11/28/2021 23:06:54,,I have read and agree,602bcde5e13176370402458a,3,0-10,"introverted, trusting",3-Medium,5-Very High,1-Very low,4-High,4- High,5-Very high,2-Low,2-Low,4- High,2-Low,3- Medium,3- Medium,3- Medium,4- High,4- High,3- Medium,3- Medium,4- High,3- Medium,4- High,3- Medium,3- Medium,Option 3,2-Low,4- High,4- High,3- Medium,4- High,4- High,4- High,3- Medium,2-Low,2-Low,2-Low,2-Low,2-Low,3- Medium
11/28/2021 23:09:29,,I have read and agree,5d533e8614fbe20017f175f8,3,11-30,"Calm, trusting but and introvert",2-Low,4-High,3-Medium,4-High,5-Very high,3- Medium,2-Low,1- Very low,"2-Low, 3- Medium",3- Medium,2-Low,3- Medium,4- High,4- High,4- High,4- High,3- Medium,4- High,"2-Low, 3- Medium",3- Medium,2-Low,3- Medium,Option 3,3- Medium,4- High,3- Medium,3- Medium,2-Low,4- High,4- High,3- Medium,3- Medium,4- High,4- High,"3- Medium, 4- High",3- Medium,3- Medium
