Timestamp,Score,,What is your prolific ID?,Do you consider yourself a good judge of character?,How many people do you encounter on an average day?,How would you describe yourself in a few words?, [Charisma], [Confidence], [Trustworthiness], [Friendliness], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma], [Charisma],Rate your charisma, [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness], [Friendliness],Rate your friendliness?,, [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence], [Confidence],Rate your confidence, [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness], [Trustworthiness],Rate your trustworthiness
11/28/2021 22:48:40,,I have read and agree,613a731981ce3c31716018be,4,11-30,"Im a social perople person, its easy for me to make friends and adapt",4- High,3- Medium,1- Very low,1- Very low,2-Low,2-Low,2-Low,4- High,3- Medium,3- Medium,4- High,4,4- High,3- Medium,4- High,3- Medium,4- High,1- Very low,2-Low,4,Option 3,3- Medium,3- Medium,4- High,3- Medium,4- High,2-Low,3- Medium,3- Medium,4,3- Medium,2-Low,4- High,3- Medium,3- Medium,3- Medium,4
11/28/2021 22:48:48,,I have read and agree,5f45287094681d0acfdf1f02,5,11-30,"Mixed rational and analytical person
",5-Very high,5-Very high,1- Very low,1- Very low,3- Medium,2-Low,4- High,3- Medium,4- High,4- High,2-Low,4,4- High,3- Medium,5-Very high,4- High,5-Very high,2-Low,3- Medium,4,Option 3,4- High,3- Medium,4- High,2-Low,3- Medium,2-Low,3- Medium,3- Medium,4,3- Medium,2-Low,4- High,3- Medium,4- High,4- High,4
11/28/2021 22:49:07,,I have read and agree,5eb052594479b80d3f9cc8fa,4,11-30,Slightly introverted and slightly pessimistic ,4- High,3- Medium,3- Medium,1- Very low,4- High,3- Medium,3- Medium,4- High,3- Medium,4- High,4- High,3,3- Medium,3- Medium,3- Medium,2-Low,3- Medium,2-Low,2-Low,4,Option 3,3- Medium,3- Medium,4- High,3- Medium,3- Medium,4- High,4- High,4- High,4,3- Medium,4- High,3- Medium,3- Medium,2-Low,3- Medium,3
11/28/2021 22:49:50,,I have read and agree,5fd8d38e72152909d1655f16,4,101 or above,A trusting person which is neither introverted or extroverted,4- High,5-Very high,1- Very low,1- Very low,3- Medium,4- High,2-Low,2-Low,3- Medium,4- High,4- High,4,4- High,2-Low,4- High,3- Medium,4- High,1- Very low,4- High,3,Option 3,"2-Low, 3- Medium",4- High,4- High,3- Medium,3- Medium,4- High,5-Very high,2-Low,4,2-Low,1- Very low,3- Medium,2-Low,2-Low,3- Medium,4
11/28/2021 22:50:34,,I have read and agree,59a119aeec2f75000124ee82,3,0-10,"Loving, organised, family orientated",4- High,4- High,2-Low,1- Very low,3- Medium,3- Medium,2-Low,3- Medium,2-Low,3- Medium,3- Medium,3,4- High,3- Medium,4- High,3- Medium,5-Very high,3- Medium,4- High,4,Option 3,3- Medium,3- Medium,4- High,4- High,4- High,4- High,3- Medium,3- Medium,3,3- Medium,3- Medium,4- High,3- Medium,3- Medium,3- Medium,5
11/28/2021 22:50:46,,I have read and agree,5d4459fdfdaaad00180ec101,4,0-10,A people person who enjoys being in a friendly environment and extroverted,4- High,4- High,2-Low,1- Very low,2-Low,3- Medium,1- Very low,4- High,3- Medium,4- High,4- High,3,4- High,3- Medium,5-Very high,4- High,5-Very high,2-Low,4- High,4,Option 3,4- High,4- High,5-Very high,3- Medium,3- Medium,4- High,4- High,3- Medium,3,4- High,2-Low,4- High,3- Medium,4- High,4- High,4
11/28/2021 22:51:04,,I have read and agree,60f00d2306d3a444b9cebeea,5,31-100,Introverted. Not trusting. ,4- High,5-Very high,2-Low,1- Very low,4- High,3- Medium,4- High,5-Very high,3- Medium,4- High,5-Very high,4,5-Very high,5-Very high,5-Very high,3- Medium,4- High,2-Low,2-Low,5,Option 3,3- Medium,4- High,4- High,2-Low,4- High,5-Very high,5-Very high,2-Low,3,2-Low,1- Very low,4- High,3- Medium,4- High,2-Low,2
11/28/2021 22:51:09,,I have read and agree,613ceea33c37d70e87c5232e,4,11-30,A shy person with a goofy mind when connects with people,3- Medium,5-Very high,2-Low,1- Very low,"2-Low, 3- Medium",3- Medium,1- Very low,4- High,"2-Low, 3- Medium",2-Low,5-Very high,3,3- Medium,2-Low,3- Medium,2-Low,4- High,1- Very low,3- Medium,3,Option 3,4- High,4- High,3- Medium,3- Medium,3- Medium,4- High,3- Medium,3- Medium,2,2-Low,1- Very low,3- Medium,2-Low,2-Low,3- Medium,4
11/28/2021 22:51:20,,I have read and agree,5c0e94f62932300001e2e0d3,4,11-30,"I'm an introvert, I don't trust anyone
",3- Medium,2-Low,4- High,1- Very low,4- High,2-Low,2-Low,2-Low,3- Medium,3- Medium,2-Low,4,3- Medium,2-Low,4- High,3- Medium,3- Medium,2-Low,"3- Medium, 4- High",2,Option 3,2-Low,"3- Medium, 4- High",3- Medium,4- High,2-Low,4- High,4- High,3- Medium,4,4- High,2-Low,3- Medium,2-Low,2-Low,3- Medium,4
11/28/2021 22:51:50,,I have read and agree,6158701cde28270a24747a2e,5,0-10,"Introverted, trusting person, clever, stubborn and meditative",5-Very high,4- High,2-Low,1- Very low,2-Low,2-Low,2-Low,3- Medium,4- High,5-Very high,2-Low,3,4- High,2-Low,3- Medium,1- Very low,3- Medium,2-Low,2-Low,3,Option 3,4- High,4- High,4- High,2-Low,3- Medium,2-Low,2-Low,3- Medium,4,2-Low,2-Low,4- High,1- Very low,2-Low,3- Medium,5
